	b	se	t	pvalue	ll	ul	df	crit	eform	
woman:76._at	 -.8046093	 .13011308	 -6.183923	 6.354e-10	-1.0596392	-.54957943	     23897	 1.9600633	         0	
woman:77._at	-.78332606	 .13080507	-5.9884991	 2.148e-09	-1.0397123	-.52693984	     23897	 1.9600633	         0	
woman:78._at	-.76204281	 .13198747	-5.7735996	 7.856e-09	-1.0207466	-.50333902	     23897	 1.9600633	         0	
woman:79._at	-.74075956	 .13364726	-5.5426468	 3.011e-08	-1.0027166	-.47880247	     23897	 1.9600633	         0	
woman:80._at	-.71947631	 .13576694	-5.2993485	 1.172e-07	-.98558809	-.45336453	     23897	 1.9600633	         0	
woman:81._at	-.69819306	 .13832536	-5.0474698	 4.510e-07	-.96931951	-.42706661	     23897	 1.9600633	         0	
woman:82._at	-.67690981	 .14129869	-4.7906303	 1.673e-06	-.95386419	-.39995543	     23897	 1.9600633	         0	
woman:83._at	-.65562656	 .14466136	 -4.532147	 5.867e-06	-.93917199	-.37208114	     23897	 1.9600633	         0	
woman:84._at	-.63434331	  .1483869	 -4.274928	 .00001919	-.92519103	 -.3434956	     23897	 1.9600633	         0	
woman:85._at	-.61306007	  .1524487	-4.0214187	 .00005803	-.91186917	-.31425096	     23897	 1.9600633	         0	
woman:86._at	-.59177682	 .15682065	  -3.77359	  .0001613	-.89915521	-.28439843	     23897	 1.9600633	         0	
woman:87._at	-.57049357	 .16147754	-3.5329593	 .00041171	-.88699976	-.25398738	     23897	 1.9600633	         0	
woman:88._at	-.54921032	 .16639546	-3.3006328	 .00096608	-.87535595	-.22306469	     23897	 1.9600633	         0	
woman:89._at	-.52792707	 .17155196	-3.0773596	 .00209079	-.86417977	-.19167437	     23897	 1.9600633	         0	
woman:90._at	-.50664382	 .17692618	-2.8635887	 .00419236	-.85343034	-.15985731	     23897	 1.9600633	         0	
woman:91._at	-.48536057	  .1824989	-2.6595261	 .00783029	-.84306995	-.12765119	     23897	 1.9600633	         0	
woman:92._at	-.46407733	 .18825247	-2.4651859	  .0137012	-.83306407	-.09509058	     23897	 1.9600633	         0	
woman:93._at	-.44279408	 .19417083	-2.2804357	 .02259063	-.82338118	-.06220698	     23897	 1.9600633	         0	
woman:94._at	-.42151083	 .20023936	-2.1050349	 .03529868	-.81399263	-.02902902	     23897	 1.9600633	         0	
woman:95._at	-.40022758	 .20644482	-1.9386661	 .05255376	-.80487248	 .00441733	     23897	 1.9600633	         0	
